Id	alpha	delta
642709	150.05962	2.37923
642860	150.06119	2.37984
642890	150.06118	2.38007
643084	150.0591	2.38198
645848	150.08713	2.39217
645908	150.08484	2.39333
646089	150.08726	2.39377
646139	150.08696	2.39423
646168	150.08713	2.39441
646215	150.08469	2.3956
646279	150.0864	2.39537
646323	150.08758	2.39526
646353	150.08802	2.3951
646355	150.08891	2.39492
646429	150.08785	2.39592
646529	150.0907	2.39543
646561	150.08811	2.39676
646683	150.08473	2.39864
646691	150.08823	2.39769
646706	150.08634	2.39846
646726	150.08804	2.39801
646738	150.08727	2.3984
646769	150.08881	2.39808
646810	150.08979	2.39805
660116	150.08482	2.39403
