,id,ra,dec,host_ra,host_dec,host_name
0,614117,150.43479151899297,2.462610033641731,150.43732,2.46392,Huong-Giang
1,614192,150.45092213957858,2.457498557540355,150.45459,2.455994,Thu-Bon
3,614284,150.43990467873942,2.4623422303607203,150.43732,2.46392,Huong-Giang
4,614318,150.4394527848457,2.4628028773507977,150.43732,2.46392,Huong-Giang
5,614521,150.43498609478053,2.46606877397473,150.43732,2.46392,Huong-Giang
6,614660,150.44101910900008,2.4649617170321125,150.43732,2.46392,Huong-Giang
2,641810,150.43924907274896,2.46244229395118,150.43732,2.46392,Huong-Giang
8,659472,150.4575985430771,2.4278950017000698,150.4612,2.429547,Dong-Nai
9,659600,150.46222769569133,2.427492272478133,150.4612,2.429547,Dong-Nai
10,659694,150.45751775491104,2.4299732506506024,150.4612,2.429547,Dong-Nai
12,659753,150.4637808709928,2.42827097899633,150.4612,2.429547,Dong-Nai
13,659914,150.45999500331462,2.4311550253085614,150.4612,2.429547,Dong-Nai
15,661790,150.4580297516717,2.453779059568166,150.45459,2.455994,Thu-Bon
16,661825,150.4558145351515,2.4550570934000135,150.45459,2.455994,Thu-Bon
17,661910,150.4526701569536,2.457093661985949,150.45459,2.455994,Thu-Bon
18,662039,150.4542304119719,2.4577650030961555,150.45459,2.455994,Thu-Bon
19,662092,150.4525310883153,2.4589724609656347,150.45459,2.455994,Thu-Bon
7,680426,150.4603440825616,2.4261831506570615,150.4612,2.429547,Dong-Nai
11,680812,150.45722066297657,2.430475040132897,150.4612,2.429547,Dong-Nai
14,683386,150.457598919319,2.4537255089481955,150.45459,2.455994,Thu-Bon
20,756228,150.06120015783387,2.3746272682231964,150.06149,2.37868,Hong
21,756324,150.0621863944692,2.3752308893787197,150.06149,2.37868,Hong
22,756381,150.05860749592134,2.377135428809643,150.06149,2.37868,Hong
24,756542,150.06446107839014,2.3764584982060812,150.06149,2.37868,Hong
25,756791,150.0621220714542,2.3799503830621935,150.06149,2.37868,Hong
26,756809,150.06204554243652,2.38006265694344,150.06149,2.37868,Hong
27,756931,150.06130922780542,2.381544864044232,150.06149,2.37868,Hong
28,756960,150.06632922505685,2.3801244793529985,150.06671,2.3823645,Gianh
29,756994,150.06579346486325,2.3807226965383426,150.06671,2.3823645,Gianh
30,757025,150.06659803361558,2.380855916549581,150.06671,2.3823645,Gianh
31,757035,150.06993613998245,2.3798080412536575,150.06671,2.3823645,Gianh
33,757177,150.06794106365746,2.3821448528082114,150.06671,2.3823645,Gianh
