     id  bayes.attenuation.E_BVs  bayes.attenuation.E_BVs_err  bayes.sfh.age_main  bayes.sfh.age_main_err  bayes.universe.redshift  bayes.universe.redshift_err           bayes.sfh.sfr      bayes.sfh.sfr_err    bayes.sfh.sfr100Myrs  bayes.sfh.sfr100Myrs_err  bayes.stellar.m_star  bayes.stellar.m_star_err  bayes.stellar.m_star_old  bayes.stellar.m_star_old_err  bayes.stellar.m_star_young  bayes.stellar.m_star_young_err     bayes.hst.wfc.F814W  bayes.hst.wfc.F814W_err   bayes.jwst.miri.F770W  bayes.jwst.miri.F770W_err  bayes.jwst.nircam.F115W  bayes.jwst.nircam.F115W_err  bayes.jwst.nircam.F150W  bayes.jwst.nircam.F150W_err  bayes.jwst.nircam.F277W  bayes.jwst.nircam.F277W_err  bayes.jwst.nircam.F444W  bayes.jwst.nircam.F444W_err       bayes.subaru.hsc.g  bayes.subaru.hsc.g_err      bayes.subaru.hsc.i  bayes.subaru.hsc.i_err       bayes.subaru.hsc.r  bayes.subaru.hsc.r_err      bayes.subaru.hsc.z  bayes.subaru.hsc.z_err    bayes.vista.vircam.H  bayes.vista.vircam.H_err    bayes.vista.vircam.J  bayes.vista.vircam.J_err   bayes.vista.vircam.Ks  bayes.vista.vircam.Ks_err    bayes.vista.vircam.Y  bayes.vista.vircam.Y_err       best.chi_square  best.reduced_chi_square  best.attenuation.B_B90  best.attenuation.E_BV_factor  best.attenuation.E_BV_lines  best.attenuation.E_BVs   best.attenuation.FUV  best.attenuation.V_B90  best.attenuation.powerlaw_slope  best.attenuation.uv_bump_amplitude  best.attenuation.uv_bump_wavelength  best.attenuation.uv_bump_width  best.nebular.f_dust  best.nebular.f_esc  best.nebular.lines_width  best.nebular.logU  best.nebular.ne  best.nebular.zgas  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age   best.universe.age  best.universe.luminosity_distance  best.universe.redshift    best.dust.luminosity  best.sfh.integrated            best.sfh.sfr     best.sfh.sfr100Myrs      best.sfh.sfr10Myrs        best.stellar.lum     best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young    best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young       best.stellar.n_ly   best.stellar.n_ly_old  best.stellar.n_ly_young       best.hst.wfc.F814W    best.jwst.miri.F770W       best.hst.wfc.F606W  best.jwst.nircam.F115W  best.jwst.nircam.F150W  best.jwst.nircam.F277W  best.jwst.nircam.F444W   best.jwst.nircam.F090W  best.jwst.nircam.F200W  best.jwst.nircam.F356W  best.jwst.nircam.F410M      best.cfht.megacam.u        best.subaru.hsc.g        best.subaru.hsc.r       best.subaru.hsc.i       best.subaru.hsc.z        best.subaru.hsc.y      best.vista.vircam.Y     best.vista.vircam.J     best.vista.vircam.H    best.vista.vircam.Ks  best.subaru.suprime.IB427  best.subaru.suprime.IB505  best.subaru.suprime.IB574  best.subaru.suprime.IB709  best.subaru.suprime.IB827  best.subaru.suprime.NB711  best.subaru.suprime.NB816   best.spitzer.irac.ch1   best.spitzer.irac.ch2   best.spitzer.irac.ch3 
 756228      0.07444085408532151          0.02225559466590871   620.9634735183676       283.1989445616424        3.312598063148984          0.48986253506400246       2.622761811384679     0.7929615685910542      2.8040561947740303        0.8269629585534501    514078828.57571477         162610427.8598907        146939369.11693707             184472340.6867804            367139459.458778              192152025.20952427   6.956318437158503e-05    7.943806143112367e-06   0.0001445611052638447      2.295661566596623e-05    7.173398448150307e-05        8.100049366963099e-06    7.994336649152647e-05        7.454549718078013e-06    0.0001247973511749191       3.2128491812336133e-06   0.00013980865408281184       3.6494649101431917e-06    3.798741415675176e-05  1.1150162179554991e-05    7.01450540630758e-05   7.928970738115662e-06    6.926903381243909e-05   9.182146382463667e-06   6.699852336203718e-05   8.129278500209969e-06   8.958204766651197e-05     6.841359746685423e-06   7.517842444375513e-05     8.431499923234104e-06  0.00012059160851554173     1.1111915327291192e-05   6.593296478192928e-05      7.85804444064565e-06     5.595046620655322      0.18650155402184407      0.4549243866830946                           0.9                          0.1     0.09000000000000001     0.9407713757340808      0.3651206730557027                              0.0                                 3.0                                217.5                            35.0                  0.0                 0.0                     300.0               -2.0            100.0              0.014         500.0               100.0              500.0              0.25              1000.0             5000.0       131.29521501607158               1.0                      0.02                                  100.0  1847.1948274370964              9.664649418549627e+26       3.499999999999999   6.691784802199028e+36    635469726.7971284       3.354961913404308      3.2653593188608303      3.3467976636216408   1.349512263551657e+37  1.6176195327395804e+36   3.1313291731955062e+32     1.6173063998222606e+36   7.668476099700463e+35  1.2728275025546525e+37  167109651.54337344       97723479.79039477         69386171.75297867   468360065.22864604       211210315.12065056         257149750.10799548   4.904522269750871e+53   6.010147769945938e+49    4.903921254973877e+53    7.026911479042786e-05  0.00015662727545153116   6.0772748548334774e-05   7.114226805313824e-05   7.966668953892282e-05  0.00012481375482943543  0.00014419615054201245    6.704613655159774e-05  0.00011149218855567534   0.0001168846744651397  0.00014274537100205975    8.543217310080546e-07   3.1167854852920434e-05    7.133080274773353e-05   7.056169338401491e-05   6.755814251831672e-05    6.316663025414495e-05    6.396202277638017e-05   7.547909865204888e-05   8.850155702008685e-05  0.00014262011245061093     1.7610368142027367e-05      3.714885705517371e-05      6.792033526541501e-05       6.35878370421498e-05      7.198995470685581e-05      6.747964517593315e-05      7.411680578791311e-05  0.00011668869898065777  0.00014662804286508086   0.0001417704790410229 
 756257      0.07598777795119982          0.06633143060267427  1405.4221059926238       1602.787828311932       0.9351222847405055          0.07694196026574897     0.20692281357828765     0.1822844281205557     0.21456863769604917       0.14598623997675245     71807660.09966862         27256639.06058994         32833581.79568785            35860411.040887944           38974078.30398035               28513499.01155785   8.090142002431995e-05    6.096169034693035e-06  4.3016580974094025e-05     1.3064426066725214e-06    9.798122513082446e-05        5.676673713371174e-06    0.0001083120605761369        6.484896447294418e-06   0.00012903784729292663       2.5107228610763725e-06    9.473959672692483e-05        2.944335660243552e-06    4.464634257926128e-05  1.3589916007986391e-05     7.4957255244283e-05  6.8570048203254596e-06   4.9742653507110045e-05  1.1310657263228479e-05   9.178600927345012e-05   5.937090787837942e-06  0.00011312106478943506     4.821868314807883e-06  0.00010067172496233463     5.970011350437345e-06  0.00012358043031868615     3.0264785973209945e-06   9.415401417569485e-05     7.395924852895486e-06    14.429925764434405       0.4809975254811468     0.46140191040053147                           0.9                          0.1     0.09000000000000001     0.9339651498628899      0.3679648082584053                              0.0                                 3.0                                217.5                            35.0                  0.5                 0.0                     300.0               -3.0            100.0              0.014        5000.0               100.0             5000.0              0.25               100.0             1000.0       2136.7606635660973               1.0                     0.004                                 1000.0   5579.126613826811             2.3225037300877496e+26      1.0999999999999999   7.912343306583226e+35   187971866.63064244     0.27981382300055785      0.4750844767271246     0.29260153428864544  1.5113229838255312e+36   2.063855487188829e+35    9.590714084641021e+31     2.0628964157803652e+35   4.465951614674764e+34  1.4666634676787835e+36   74905225.84520377      61628481.631834954        13276744.213368824   113066642.76289394        71832423.16659047          41234219.59630348   5.772712280118907e+52   2.022166843047732e+49    5.770690113275858e+52    7.666047216305578e-05   4.471064739579959e-05   5.6443512848818624e-05  0.00010091254166643905  0.00011821585626749828  0.00012499716436726484   0.0001011740009747146     9.20686148698489e-05   0.0001225432174841634  0.00012603728184766523  0.00011407918544023512    5.814814586459392e-05   5.1951888600373565e-05    5.797310361123102e-05   7.032392324362296e-05   9.294675656014533e-05     9.77815113768815e-05   0.00010516388575668398   0.0001011601225040889   0.0001110700110413298  0.00012565463368157477     5.2254915651899434e-05     5.2995781250573033e-05      5.774255550039635e-05      5.929572542081219e-05      8.680842061449572e-05     5.9210416843198865e-05      8.733460132594021e-05   0.0001249047815765888   9.551169508439538e-05   6.563387798396484e-05 
 756324      0.09037283250193437         0.040805851314103164   690.9548125050553      277.89027924859994       2.9728665124737255           0.4520008158120653      1.6072339350178038    0.44294281507810823      1.6832829783496055        0.5003160104872296     358593932.9801745         104558327.5013992        112862453.44990963            131057921.10345653          245731479.53026482              137725353.59094492   4.634709071696492e-05    6.043667814475956e-06   9.349788858644972e-05     1.1805931300028316e-05    5.245398540968973e-05        6.485219524750568e-06    7.045358915495575e-05         7.97010364306569e-06   0.00011424537481594586       2.3056452559092174e-06   0.00010716468699768974       3.3764039860678315e-06    4.076984203416005e-05   8.540068078917015e-06  4.7601894634965306e-05   6.711440580220915e-06    4.957845124950365e-05   9.197478463143156e-06   4.299659172744819e-05    4.85229702480808e-06   8.230368939284033e-05      6.50082972996111e-06   5.552171719539983e-05     8.620888474505866e-06   9.400332704641217e-05      6.944844291433953e-06  4.7232290590695744e-05     4.497249926523906e-06    4.4586859900218165      0.14862286633406055       0.456897320679665                           0.9                          0.1     0.09000000000000001     0.9420298456374123       0.365174169619353                              0.0                                 3.0                                217.5                            35.0                  0.0                 0.0                     300.0               -3.0            100.0              0.014        1000.0               100.0             1000.0              0.25              1000.0             1000.0        281.6532088078289               1.0                     0.004                                 1000.0  2121.1086918924484              8.349509100023155e+26      3.0999999999999996  4.1819656892342397e+36    522227246.3440264      1.7876661020364792      1.8502651425740797      1.7932625490138354   8.515732999272411e+36  1.2955538570035378e+36                      0.0     1.2955538570035378e+36                     0.0   8.515732999272411e+36   158174751.0401539                     0.0         158174751.0401539    364052507.2899279                      0.0          364052507.2899279    3.61912211361726e+53                     0.0     3.61912211361726e+53    4.742364935920343e-05   9.630525076694782e-05   5.2219648191934815e-05   5.121473598426554e-05    6.93647720550136e-05  0.00011551805230892191  0.00010638795970591735    4.424396799740204e-05   9.319499180744096e-05  0.00010390109115857383  0.00011121653467355177   1.1788832237052401e-05     4.28202423077431e-05    5.186867272944438e-05  4.9305741696585385e-05  4.2249999554700574e-05   4.5405054305012543e-05    4.710436561190993e-05   5.295622458457782e-05   8.242017794229629e-05   9.414484752351033e-05     2.9179965738861977e-05      7.117602905033467e-05     5.1603528272019594e-05      5.191769933686855e-05      4.625357560907592e-05      5.179401932822877e-05      4.718141929764225e-05    0.000104097814750084   0.0001022093544949194    9.96121763380433e-05 
 756353     0.050015046130321254        0.0007817189915328759  100.00084453264105      0.5836363058612513        2.299551677253771          0.02317766465493402       6.113185942856634    0.30565929714283174      3.2173470687032415        0.1608673534351621    264825507.72899905        13241275.386449954        214.12837497642514            209053.23251996504          264825293.60062405              13241264.680031203  0.00027328257552022703    3.172715201872083e-06  0.00017566790560232459     1.3015913004090807e-06    0.0002923731473817033       3.0676021635298077e-06   0.00044468220497876715        4.086892829545414e-06    0.0002986990309708351        4.516715129397256e-07      0.00027571735726808       1.5409288147555727e-06    0.0003615727190788966    7.13835649882925e-06  0.00027216221614407866  3.2049228127452464e-06    0.0003106515444466662  4.1229705745337785e-06  0.00027834164068024506  3.1521996839742576e-06   0.0004457248034463784     5.020615020778525e-06    0.000316077350933138    2.5707413480065906e-06  0.00047606772816117507      5.304550630381157e-06  0.00027406261181517696      4.37574065037281e-06     80.06973349303314        2.668991116434438      0.2887881051350752                           0.5                          0.1                    0.05     0.5465770942871712     0.24442474628066446                              0.0                                 3.0                                217.5                            35.0                  0.0                 0.0                     300.0               -2.0            100.0              0.014         100.0               100.0              100.0               0.0               100.0             5000.0       31.928919392535253               1.0                     0.004                                  100.0  2921.7448458612876              5.804221518154502e+26                     2.3    8.29661673416626e+36    314196441.7710521       6.242938935627969       3.141964417710522       5.964431491751362  2.2602245971647614e+37   4.431721163823912e+36                      0.0      4.431721163823912e+36                     0.0  2.2602245971647614e+37  54735961.921618626                     0.0        54735961.921618626   259460519.17069352                      0.0         259460519.17069352  1.2364347399044698e+54                     0.0   1.2364347399044698e+54   0.00027539277978752595   0.0001750089712699131   0.00031947734006579576   0.0002943288115430574   0.0004480825979529308  0.00029841447842231825   0.0002745610739286451    0.0002774744281910245   0.0003989592215617786  0.00031442234354480265   0.0002916027917214772    0.0003722149669926464   0.00036238703194872707   0.00031292104387644314   0.0002743816069001246  0.00028020490951150316    0.0002757851613979032    0.0002757843916852994   0.0003178018987208051   0.0004492335531322493  0.00048026504285581114       0.000366711990528407      0.0003279172358683856     0.00033106346362697436     0.00027566442966228547      0.0002749726701241183      0.0002739807402281455      0.0002772898572919977  0.00029637960955391563  0.00027539554587096025  0.00028114422225775207 
 756380    4.498202431176738e-09       1.8449898248473502e-05  100.00922909423338      1.9723754026373277         5.09999942377359        0.0004500512018400869       11.02366896331517     0.5511834481657586       6.131526497283576       0.46461651720639174     502717106.6693642        34366912.360864155         6047.804408717036            1828239.6052022534           502711058.8649553               34297400.53773058   0.0002679310229189668    3.127086567375534e-06  0.00015575826962578246      4.787218304223055e-06    0.0002497714042633928       2.1803850995025647e-06    0.0002122469901596593       2.2591353075190304e-06   0.00026955042223452595        6.274134203897223e-07    0.0002377779210165439       1.0607206327522232e-06    8.384125702793096e-10  1.8827604153304703e-08  0.00024606268088772035   3.183731855176523e-06   5.8038500211491405e-05   9.042553908881378e-07  0.00028960106485888715  2.3870620230681306e-06   0.0002031342302790685    2.0883265142243983e-06   0.0002371542861562875    2.3273613172515698e-06    0.000200812183528823     1.3743169633879887e-06     0.00026888137113682    2.1611012893908153e-06     433.4505301180706       14.448351003935688                    -0.0                           0.0                          0.0                     0.0                   -0.0                    -0.0                              0.0                                 3.0                                217.5                            35.0                  0.0                 0.0                     300.0               -2.0            100.0              0.014         100.0               100.0              100.0               0.0               100.0             5000.0       31.928919392535253               1.0                     0.004                                  100.0  1172.9817297614675             1.5124319916926076e+27       5.099999999999999                     0.0    572421548.4544415       11.37375315995043       5.724215484544416      10.866351925928486  4.1178100441590387e+37   8.073970146240299e+36                      0.0      8.073970146240299e+36                     0.0  4.1178100441590387e+37   99721193.22136448                     0.0         99721193.22136448   472700426.87086016                      0.0         472700426.87086016  2.2526094961148907e+54                     0.0   2.2526094961148907e+54    0.0002706307883053033  0.00015219892108840686   4.1010995449868553e-05   0.0002509242951548156  0.00021274798875089418  0.00026937495911192287  0.00023698686334198578    0.0002878144933776273  0.00019725340203800978  0.00018817320905874948  0.00031953588428169753                      0.0    8.487820630979318e-10    5.878466879560325e-05  0.00024881778225714965  0.00029157267611382067    0.0002687959006386457    0.0002704230720937019  0.00023800698219937676  0.00020353378925064324   0.0002014991334685273                        0.0                        0.0     3.0083496683614223e-05     6.0296986740345296e-05       0.000311970150929103     5.5979013028131736e-05      0.0003129902871123256   0.0001716370207931629  0.00021008719509392842  0.00017850638117277923 
 756381       0.0352761080305963         0.042269213383475904  407.30075788730824       312.3910103395012        4.553314374505353            0.757350926467457       5.714012611829149     1.5442867809782033       4.537042012630232        1.0004953495131832     726672578.4878981        390181828.06642175        181892658.90198132            311289073.30459034           544779919.5859172              334773595.61892813  0.00012807980627733173   1.1077170523030779e-05  0.00014394437828830128     1.2582900662684367e-05   0.00012722789765380358       1.5031580586761455e-05   0.00012094984902699477         5.99166612501873e-06   0.00018906049799955786        7.097318575254253e-06   0.00017204967008077265        6.322604951012562e-06    2.274083922520351e-05   3.177948355250171e-05  0.00012062022325574264   7.044944323862757e-06    6.386614842482404e-05    5.05411804861984e-05  0.00013650043113584955  2.2744381996576546e-05  0.00012727102904051306    1.3482372681419351e-05  0.00012554892610615908    1.1213533451958507e-05   0.0001418223164409028     2.8019837343322085e-05   0.0001284634111484765    2.3124726313640312e-05    159.01087724012336        5.300362574670779     0.45329639337386535                           0.9                          0.1     0.09000000000000001     0.9436688412955869     0.36219522348987543                              0.0                                 3.0                                217.5                            35.0                  0.0                 0.0                     300.0               -3.0            100.0              0.014         100.0               100.0              100.0               0.0               100.0             5000.0       31.928919392535253               1.0                     0.004                                  100.0  1847.1948274370964              9.664649418549627e+26       3.499999999999999  1.2183743543242867e+37    329817308.4102536       6.553318378502703      3.2981730841025363       6.260964413595181  2.3725959111361675e+37   4.652052510964579e+36                      0.0      4.652052510964579e+36                     0.0  2.3725959111361675e+37   57457263.14554863                     0.0         57457263.14554863   272360086.54089534                      0.0         272360086.54089534   1.297906416894998e+54                     0.0    1.297906416894998e+54   0.00011707415800311882  0.00013934973514546838   0.00011626147172807112   0.0001088648257619487  0.00012091010755061865  0.00019980684797281213   0.0001635552278783666   0.00010626250347846386  0.00015330287706363037   0.0001350413177922356   0.0001694426297505767   1.8323173506418893e-06     6.65709051472335e-05   0.00013371277264522454  0.00012028023630303959  0.00010740054338581514    9.666217976911954e-05    9.817717523060725e-05  0.00011391975513440876  0.00014533041908383154  0.00018132297065399247      3.785506537997066e-05      7.473491147889156e-05     0.00012418131440411958     0.00011723516371928598     0.00011826068205079915     0.00012122951837118457     0.00012057607591226773  0.00013551306480815136   0.0001662268547114904  0.00013724114821518489 
 756385      0.02767543133098305         0.044934808503821165   614.4356233232867      216.26557739842843       1.6178802296390347          0.09849843122887057      1.7165051652898138     1.5354451414845338      2.3498536638632714        1.7978733943419896    1606480991.5415742        195202320.61504522         711684740.7423751              732502908.906904           894796250.7991996               731710319.4222715   0.0003063155778118858   1.7580816597445897e-05   0.0004538535806440563     1.6142034927354217e-05    0.0006831395916336515       3.8182702535616976e-05    0.0007448109560817158       1.7207087873091165e-05    0.0008876783116588032         8.76584473582369e-06    0.0009138360251400656        9.599250178189401e-06   0.00027488806923280096   2.845786824512051e-05  0.00029696551098601994  1.9536076308165357e-05   0.00026519723969065307  1.5067199038794129e-05   0.0003208556411458197  1.4052662588157272e-05   0.0007605336858833541     1.065890792481424e-05   0.0007145535783696672    2.7557567048452167e-05   0.0008170972994284739     1.2377405385229903e-05   0.0005428162344766242    0.00010141219569416199      42.8963193801032       1.4298773126701068     0.46307545891278457                           0.9                          0.1     0.09000000000000001     0.9359412614482974      0.3691255886955209                              0.0                                 3.0                                217.5                            35.0                  0.5                 0.5                     300.0               -2.0            100.0              0.014         500.0               100.0              500.0              0.25               100.0               50.0        301.0742636032286               1.0                     0.004                                  100.0  3911.5312747661824             3.9963967431341736e+26      1.6999999999999997   9.818370726292478e+36   2256553253.1422367      3.3152787979130522       5.684429582916585       3.469919499279631  2.0297714169451924e+37  2.4473500787656573e+36   2.3760309631168017e+33     2.4449740478025402e+36    2.98444439913926e+36  1.7313269770312665e+37   728291797.9524065       600318165.0520436         127973632.9003629   1528261478.6456592       1087792129.7985356          440469348.8471237   6.844400138853874e+53  4.6022409574294925e+50    6.839797897896445e+53    0.0003330734947840789   0.0004591387031165049   0.00029513762612285604   0.0006447801237406389   0.0007293808238255322   0.0008981504897782515   0.0009051512752135935   0.00034769402179632837   0.0008070230204562179   0.0008889614178217236   0.0009072503996136537   0.00032708502128861976     0.000317236832342704    0.0002853535702440925  0.00032810156796637605   0.0003439632097529309    0.0003821687825130927    0.0004725503246720957   0.0006862938947471169   0.0007529417265034459   0.0008316664915111408      0.0003144080785515553      0.0003113725797999393      0.0002707889659199683     0.00031857925303193377      0.0003394918003217643     0.00032157541961653146     0.00033877348000275906    0.000888450454899699    0.000905640816554855    0.000711062489505155 
 756401      0.25249038390713746         0.022178249917939985  496.35191248884735       51.43285656836982       1.4978229883902843          0.02386216370116561       5.365616707060774      1.558610793313249       8.895644803942014        0.4447822401971007     2352281451.741916        187484667.90527898         831165989.1996142             842953309.7065732          1521115462.5423014               841798437.4692372  0.00025582524911116003   3.1423226506844833e-06    0.000821649362745572      4.271170547171117e-06    0.0006588192068474489        9.913814874211261e-06    0.0008560853411951745        2.718310261870232e-06    0.0013862596600947388       1.7425804217070204e-06    0.0015609583423995936       2.5445056337879972e-06   0.00013152819548495624   8.774171691071829e-06  0.00023820654921238968  4.3682632026942785e-06   0.00015878399978684193   4.024965633339255e-06   0.0002856582107098623   6.206975660353637e-06   0.0009363342385268771     4.561466881478245e-06   0.0007120462140578711     1.973246880674412e-05   0.0012069657641145396       7.86865609856369e-06   0.0005636413579265417    1.7452918962950103e-05     139.2984957246139        4.643283190820464      1.2837384171900386                           0.5                          0.5                    0.25      2.598022868590818      1.0239314581162446                              0.0                                 3.0                                217.5                            35.0                  0.5                 0.5                     300.0               -2.0            100.0              0.014         500.0               100.0              500.0              0.25               100.0               50.0        301.0742636032286               1.0                     0.004                                 1000.0   4367.376750929068              3.420364545220431e+26      1.4999999999999998  2.3715538163894603e+37    3522672496.075614      5.1754335608825075       8.873880427920323       5.416840912878003   3.168646666696928e+37  3.8205226483050113e+36                      0.0     3.8205226483050113e+36                     0.0   3.168646666696928e+37  1136925743.8050308                     0.0        1136925743.8050308   2385746788.8871365                      0.0         2385746788.8871365  1.0684693608583274e+54                     0.0   1.0684693608583274e+54     0.000255293264663901   0.0008217130137810632    0.0001488958064529081   0.0006588953081959924   0.0008554969871503026   0.0013860865310893085   0.0015610349131520026    0.0003408025762459906    0.001116786166858321   0.0015157190501777767   0.0016205188099117924   0.00013713464457772251   0.00013202060088486514    0.0001586811817716622  0.00023789934486256471  0.00028433334447391283   0.00048493546130293783    0.0005645702690548061   0.0007133895778125748   0.0009353677680455869   0.0012060367452348822     0.00014992992733106245     0.00012223356701133878     0.00012353256933627694       0.000212773699782196      0.0002591907311925794     0.00021528261641991873      0.0002563035193044389   0.0015133133159933943    0.001547096771446911   0.0011653920209690333 
 756411     0.011503630530174933          0.02737018832683057   598.1204460737662      1192.0803641973512       2.6750259108393353           2.1708492379066704       2.321574552110004      2.333743842132117      1.5569811932302264        1.5574347254431822    136806600.34138927        137274767.88635477         5810598.780245658             32440397.35735275          130996001.56114352               132001468.1196426  0.00011678332796155007   1.0066270463624492e-05   4.908379087603291e-05     2.6223809912129455e-05   0.00010586588720554584        9.773580828770188e-06   0.00010581026930812168        1.316029459495964e-05   0.00010632558024784325         9.81256276758111e-06      6.9341762004121e-05        1.213219988169011e-05    4.142386882511497e-05  4.1528512144853686e-05  0.00011634897989489915  1.0878616627345237e-05    6.924964992868101e-05   3.187162521544862e-05   0.0001098058917015147  1.5546328228511106e-05  0.00010109939576549087    1.3223312029817756e-05  0.00010438437849247106     8.979711625737255e-06   9.784217245119349e-05     1.4789063718282802e-05  0.00012185439817734152    1.4499599162823463e-05     70.29692942839297       2.3432309809464322      0.4511385375564742                           0.9                          0.1     0.09000000000000001     0.9418236443446525     0.36310511945262647                              0.0                                 3.0                                217.5                            35.0                  0.0                 0.0                     300.0               -2.0            100.0              0.014         100.0               100.0              100.0               0.0               100.0             5000.0        32.00244279544092               1.0                      0.02                                  100.0   8695.635587456683              8.777496600051377e+25                     0.5  1.8102329121961998e+35    5397598.553904419     0.10724780325683407    0.053975985539044195     0.10246330802879647   3.506956154548901e+35   5.094751974486511e+34                      0.0      5.094751974486511e+34                     0.0   3.506956154548901e+35   976073.5980960567                     0.0         976073.5980960567    4421524.647783284                      0.0          4421524.647783284  1.5455368104740247e+52                     0.0   1.5455368104740247e+52   0.00011096799334445516  2.7314203853458338e-05    8.576793828494421e-05   8.783634429054131e-05   0.0001164724198793359  0.00011840512093672636   6.246699424950961e-05    0.0001091402159312056  0.00010719248122700857   7.826563544716171e-05   6.900660516478541e-05    7.354000067949706e-05    7.945504893659351e-05    8.844710850858944e-05  0.00011728118578637433   8.156036313755358e-05   0.00015189430046998363   0.00014764309198467092   8.882248824842285e-05  0.00010650998887449902  0.00010620430218712106      7.837350053690677e-05      8.051841118151672e-05      8.987596239274276e-05      8.388523541963721e-05      7.860769062156805e-05      8.205071438599576e-05      7.836596174849469e-05   7.663032379666955e-05  5.9334512269298214e-05  4.7889543610139896e-05 
 756440     0.013671932275794333          0.02694008460104338  1860.3872660173902        1872.31632828613       0.5146321840443044           0.0520801086378691     0.02821660218476414    0.01420252179907374     0.03456962337555554      0.012239929220784235     8156302.689462904         2123118.310952914         3508373.530362871            3125839.5232189316           4647929.159100015              2535371.6913996288  5.9151835570137295e-05   2.3418646799867153e-06   9.781309131925538e-06      5.589063764701819e-07    5.889626242986222e-05       1.7086844920349034e-06   6.1028830056767534e-05       1.5154364899687419e-06    5.249048390198056e-05        7.085527414272042e-07    2.630004909464992e-05        4.745431210440071e-07     3.86776122513977e-05    4.55994403693393e-06  5.9434580961444026e-05  2.5776454242875873e-06    5.449291164864696e-05    3.69872450781638e-06   5.847610173024532e-05  2.2463863490633756e-06  5.9593219447892194e-05    1.0159268854888006e-06    5.91611735193063e-05    1.8590457084300112e-06  5.7255356646686935e-05     1.7859411176509917e-06  6.0509242127205065e-05    3.7790441494997767e-06     34.04992633464323       1.1349975444881077                    -0.0                           0.0                          0.0                     0.0                   -0.0                    -0.0                              0.0                                 3.0                                217.5                            35.0                  0.5                 0.5                     300.0               -2.0            100.0              0.014        1000.0               100.0             1000.0              0.25               100.0               50.0         646.729498966012               1.0                     0.004                                  100.0   8695.635587456683              8.777496600051377e+25                     0.5   7.517486577164717e+33   13932333.205893595    0.020372434635314015     0.03483085897382344    0.021318926096178956  1.1525504029106257e+35  1.5034973154329434e+34   1.1687733154455816e+31     1.5023285421174978e+34   8.975536511749922e+33  1.0627950377931266e+35   4933327.643539309       4149458.155263704         783869.4882756048    8999005.706458563         6299789.15324755         2699216.5532110133   4.205124418840624e+51  2.3940762391021333e+48    4.202730342601522e+51    5.868276454105416e-05    9.45425270664317e-06    4.919133881861162e-05    6.00091190991894e-05   6.161457269810741e-05   5.278764034854732e-05  2.5898588765661606e-05    5.910800088018867e-05   5.887995732919318e-05   3.511035328694217e-05   2.947241054900935e-05   4.0525995617619567e-05   3.7475549753778514e-05    5.442076172480989e-05   5.859395319118149e-05    5.94334524384754e-05   5.9232575202785465e-05   5.9594022950005725e-05   6.039499782320805e-05   6.051935853434456e-05   5.872998221355168e-05     3.8574460521460884e-05      3.655127943303218e-05      5.080669784893858e-05     6.0232301492164684e-05      5.870020404627836e-05      6.048901142580902e-05      5.853921942913515e-05   3.504713768181194e-05  2.4910350083845817e-05  1.7208371316497842e-05 
